Session ID,Subject,Question,Student Answer,Correct,Response Time(s),Initial Option,Final Option,Option Changes,Navigation Frequency,Interaction Timestamp,Engagement Score,Engagement Level,Confidence,Frustration,Interest,Accuracy,Learning Progress,Knowledge Gaps,Hints Requested,Inactivity(s),Completion Rate
23698c5f-4a86-4bb1-a043-457d480f2e26,English,Identify the correct use of its/it's,B,Yes,4.0,B,B,0,0,2026-01-06T11:56:34.633Z,0.8007336697,high,0.6133333333333333,0.0,0.6733333333333333,1.0,1.0,,0,0.023329,0.1
23698c5f-4a86-4bb1-a043-457d480f2e26,English,"What tense is ""The students have completed their assignment""?",B,Yes,4.0,B,B,0,0,2026-01-06T11:57:02.499Z,0.8077168641000001,high,0.7466666666666666,0.0,0.9733333333333334,1.0,1.0,,0,0.047337,0.2
23698c5f-4a86-4bb1-a043-457d480f2e26,English,"Which word best describes ""ambiguous""?",B,Yes,16.0,A,B,1,0,2026-01-06T11:57:33.109Z,0.8672342024,high,0.94,0.0,0.9466666666666667,1.0,1.0,,0,0.022568,0.3
23698c5f-4a86-4bb1-a043-457d480f2e26,English,"What is an antonym for ""bright""?",C,Yes,21.0,C,C,0,0,2026-01-06T11:58:07.310Z,0.8742278352,high,1.0,0.0,0.925,1.0,1.0,,0,0.031664,0.4
d9200e77-af9a-43bd-95a9-ec4f6b15759c,English,Identify the correct use of its/it's,B,Yes,5.0,B,B,0,0,2026-01-06T12:15:12.242Z,0.853235454,high,0.6133333333333333,0.0,0.6666666666666667,1.0,1.0,,0,0.02078,0.1
d9200e77-af9a-43bd-95a9-ec4f6b15759c,English,"What tense is ""The students have completed their assignment""?",B,Yes,10.0,B,B,0,23,2026-01-06T12:22:39.517Z,0.8077418856,high,0.6866666666666666,0.0,0.97,1.0,1.0,,0,0.011592,0.2
d9200e77-af9a-43bd-95a9-ec4f6b15759c,English,"Which word best describes ""ambiguous""?",B,Yes,5.0,B,B,0,27,2026-01-06T12:22:57.713Z,0.8672239334,high,0.88,0.0,0.9555555555555555,1.0,1.0,,0,0.037238,0.3
d9200e77-af9a-43bd-95a9-ec4f6b15759c,English,"What is an antonym for ""bright""?",C,Yes,19.0,C,C,0,31,2026-01-06T12:25:01.857Z,0.8742417582,high,1.0,0.0,0.935,1.0,1.0,,0,0.011774,0.4
d9200e77-af9a-43bd-95a9-ec4f6b15759c,English,"Based on: ""The old library was closed for renovations, and the community had to use the temporary lo",A,No,89.0,A,A,0,46,2026-01-06T12:26:56.949Z,0.7574718425000001,high,0.7466666666666666,0.3,0.6373333333333333,0.8,0.8,Reading Comprehension,0,0.040225,0.5
d9200e77-af9a-43bd-95a9-ec4f6b15759c,English,Which sentence is grammatically correct?,B,Yes,9.0,B,B,0,47,2026-01-06T12:27:08.425Z,0.8149082435666667,high,0.8666666666666667,0.0,0.6557777777777778,0.8333333333333334,0.8,Reading Comprehension,0,0.012033,0.6
d9200e77-af9a-43bd-95a9-ec4f6b15759c,English,"Which is the correct plural of ""child""?",C,Yes,7.0,B,C,2,47,2026-01-06T12:27:16.457Z,0.8266681743285714,high,0.7466666666666666,0.0,0.6708571428571428,0.8571428571428571,0.8,Reading Comprehension,0,0.014853,0.7
d9200e77-af9a-43bd-95a9-ec4f6b15759c,English,"Choose the correct pronoun: ""My friend and ____ went to the movies.""",B,Yes,3.0,B,B,0,48,2026-01-06T12:27:23.737Z,0.7847246929,high,0.88,0.0,0.6855,0.875,0.8,Reading Comprehension,0,0.036153,0.8
d9200e77-af9a-43bd-95a9-ec4f6b15759c,English,Choose the correct sentence:,C,Yes,11.0,C,C,0,48,2026-01-06T12:27:47.385Z,0.8470031468777778,high,1.0,0.0,0.690962962962963,0.8888888888888888,0.8,Reading Comprehension,0,0.035187,0.9
